gene	npas	pval	RLDu	RLDi	REDu	REDu.pval	REDi	REDi.pval	nread.c1.1	nread.c2.1
Kmt5b	3	0.000176	-0.646	NA	-1.48	2.11e-06	NA	NA	294	325
Chka	2	3.49e-34	-0.488	NA	-2.52	6.5e-36	NA	NA	486	2418
Tmem134	2	0.783	0.119	NA	0.146	0.47	NA	NA	746	591
Pcx	2	0.837	-0.1	NA	-0.224	0.441	NA	NA	272	277
Rbm4b	3	0.739	NA	0.362	NA	NA	0.362	0.296	396	257
Cd248	2	0.877	-0.108	NA	-0.305	0.439	NA	NA	384	78
Yif1a	3	0.165	0.0662	NA	1.32	1.38e-06	NA	NA	865	733
Eif1ad	2	3.1e-08	-0.323	NA	-0.649	4.49e-09	NA	NA	1359	1402
AI837181	2	0.0539	0.179	NA	1.38	0.00244	NA	NA	337	159
Efemp2	2	0.0167	0.304	NA	0.793	2.59e-08	NA	NA	892	836
Cfl1	2	1.62e-10	0.116	NA	1.07	2.33e-30	NA	NA	4848	5241
Rnaseh2c	2	0.951	NA	0.123	NA	NA	0.123	0.536	1316	720
Ehd1	2	0.413	-0.0805	NA	-0.11	0.179	NA	NA	3109	3147
Bad	2	1.26e-21	NA	-2.05	NA	NA	-2.05	1.25e-22	633	449
Ppp1r14b	2	2.42e-05	-0.157	NA	-1.56	1.04e-42	NA	NA	3961	3348
Atl3	4	1.45e-47	-0.384	-2	-0.964	5.54e-10	-2.31	1.86e-46	2394	1311
Snhg1	2	0.752	NA	-0.0642	NA	NA	-0.0642	0.461	6197	5583
Hnrnpul2	2	0.661	0.0714	NA	0.196	0.373	NA	NA	510	315
Ubxn1	3	0.262	0.0829	NA	0.542	0.00685	NA	NA	1200	1116
1810009A15Rik	2	0.25	0.52	NA	0.559	0.1	NA	NA	766	546
Fth1	2	3.56e-10	0.0829	NA	0.269	1.23e-31	NA	NA	28117	52802
Fads3	3	9.31e-05	-0.573	NA	-0.752	0.000513	NA	NA	677	934
Mrpl16	3	0.0177	-0.165	NA	0.754	0.00341	NA	NA	593	439
Patl1	2	0.105	NA	-0.532	NA	NA	-0.532	0.0297	578	452
Osbp	2	2.43e-11	-0.51	NA	-4.11	1.46e-12	NA	NA	200	108
Fam111a	5	2.84e-13	-0.325	-2.59	-0.973	3.05e-05	-2.82	1.2e-12	1237	524
Gnaq	5	0.0863	0.0159	NA	0.542	0.00381	NA	NA	700	681
Rfk	2	0.00175	-0.125	NA	-0.643	0.000393	NA	NA	820	824
Zfand5	3	9.18e-37	-0.18	NA	-1.3	1.55e-49	NA	NA	3117	4889
Abhd17b	3	0.0372	0.208	0.244	1.14	0.000163	0.416	0.157	551	383
Tmem2	3	0.00449	-0.0382	NA	-0.941	1.61e-05	NA	NA	1663	1219
Trpm3	2	0.0588	NA	NA	NA	NA	NA	NA	578	620
Klf9	3	1.34e-07	-0.368	NA	-0.661	1.45e-08	NA	NA	1150	1587
Ptar1	3	0.0793	-0.105	NA	-1.12	0.013	NA	NA	163	116
Gm9938	2	0.0373	-0.785	NA	-1.13	0.0124	NA	NA	129	89
Gm10053	2	0.667	0.145	NA	0.169	0.399	NA	NA	1048	968
Dock8	2	0.000363	NA	-1.08	NA	NA	-1.08	7.76e-05	544	409
Cdc37l1	3	0.000579	NA	NA	NA	NA	NA	NA	889	730
Rcl1	2	0.101	0.127	NA	0.44	0.000658	NA	NA	1532	1062
Mir101b	2	0.0582	0.139	NA	0.498	0.000144	NA	NA	1531	1058
Jak2	2	0.986	-0.0113	NA	-0.058	0.904	NA	NA	207	228
Ric1	2	0.0733	-0.486	NA	-0.661	0.0234	NA	NA	337	241
Minpp1	2	7.22e-06	NA	-1.44	NA	NA	-1.44	1.11e-06	327	150
Pten	5	8.15e-09	-0.516	0.185	-1.34	1.72e-07	0.862	5.67e-05	953	598
Pcgf5	3	0.00218	-0.757	NA	-1.04	0.000242	NA	NA	872	691
