gene	pas	type	frac.c1	frac.c2
Kmt5b	chr19:3816639:+	3' most exon	0.307	0.472
Kmt5b	chr19:3818300:+	3' most exon	0.306	0.169
Kmt5b	chr19:3816465:+	3' most exon	0.387	0.359
Chka	chr19:3894367:+	3' most exon	0.915	0.652
Chka	chr19:3893577:+	3' most exon	0.0853	0.348
Tmem134	chr19:4132293:+	3' most exon	0.169	0.183
Tmem134	chr19:4131732:+	3' most exon	0.831	0.817
Pcx	chr19:4622007:+	3' most exon	0.57	0.531
Pcx	chr19:4621703:+	3' most exon	0.43	0.469
Rbm4b	chr19:4765940:+	3' most exon	0.781	0.817
Rbm4b	chr19:4761348:+	Intron	0.147	0.12
Rbm4b	chr19:4758978:+	Intron	0.0722	0.0637
Cd248	chr19:5070893:+	Single exon	0.666	0.617
Cd248	chr19:5070640:+	Single exon	0.334	0.383
Yif1a	chr19:5092711:+	3' most exon	0.049	0.117
Yif1a	chr19:5092505:+	3' most exon	0.864	0.827
Yif1a	chr19:5092888:+	3' most exon	0.0865	0.0552
Eif1ad	chr19:5371446:+	3' most exon	0.557	0.445
Eif1ad	chr19:5370248:+	3' most exon	0.443	0.555
AI837181	chr19:5427571:+	3' most exon	0.809	0.917
AI837181	chr19:5427320:+	3' most exon	0.191	0.0834
Efemp2	chr19:5481853:+	3' most exon	0.456	0.326
Efemp2	chr19:5481953:+	3' most exon	0.544	0.674
Cfl1	chr19:5494277:+	3' most exon	0.851	0.923
Cfl1	chr19:5494001:+	3' most exon	0.149	0.0769
Rnaseh2c	chr19:5602936:+	3' most exon	0.164	0.176
Rnaseh2c	chr19:5602685:+	Intron	0.836	0.824
Ehd1	chr19:6300008:+	3' most exon	0.273	0.259
Ehd1	chr19:6298934:+	3' most exon	0.727	0.741
Bad	chr19:7026418:+	3' most exon	0.859	0.597
Bad	chr19:7019312:+	Intron	0.141	0.403
Ppp1r14b	chr19:7051841:+	3' most exon	0.94	0.842
Ppp1r14b	chr19:7051741:+	3' most exon	0.06	0.158
Atl3	chr19:7614073:+	3' most exon	0.649	0.439
Atl3	chr19:7573835:+	Intron	0.0594	0.2
Atl3	chr19:7613055:+	3' most exon	0.18	0.213
Atl3	chr19:7609585:+	3' most exon	0.112	0.148
Snhg1	chr19:8800933:+	3' most exon	0.892	0.888
Snhg1	chr19:8800151:+	Intron	0.108	0.112
Hnrnpul2	chr19:8906630:+	3' most exon	0.381	0.349
Hnrnpul2	chr19:8908633:+	3' most exon	0.619	0.651
Ubxn1	chr19:8950355:+	3' most exon	0.437	0.489
Ubxn1	chr19:8950068:+	3' most exon	0.134	0.103
Ubxn1	chr19:8950228:+	3' most exon	0.429	0.408
1810009A15Rik	chr19:8965272:+	3' most exon	0.949	0.927
1810009A15Rik	chr19:8967117:+	3' most exon	0.0509	0.0733
Fth1	chr19:10059707:+	3' most exon	0.668	0.708
Fth1	chr19:10059583:+	3' most exon	0.332	0.292
Fads3	chr19:10132868:+	3' most exon	0.696	0.796
Fads3	chr19:10134153:+	3' most exon	0.142	0.0932
Fads3	chr19:10134867:+	3' most exon	0.162	0.11
Mrpl16	chr19:11849540:+	3' most exon	0.737	0.832
Mrpl16	chr19:11850968:+	3' most exon	0.0776	0.0433
Mrpl16	chr19:11849293:+	3' most exon	0.186	0.124
Patl1	chr19:12019533:+	3' most exon	0.869	0.82
Patl1	chr19:12012517:+	Intron	0.131	0.18
Osbp	chr19:12068574:+	3' most exon	0.974	0.684
Osbp	chr19:12066830:+	3' most exon	0.026	0.316
Fam111a	chr19:12664188:+	3' most exon	0.667	0.518
Fam111a	chr19:12662524:+	3' most exon	0.124	0.117
Fam111a	chr19:12650422:+	Intron	0.0146	0.0803
Fam111a	chr19:12661761:+	3' most exon	0.103	0.157
Fam111a	chr19:12661501:+	3' most exon	0.0915	0.128
Gnaq	chr19:16461877:+	3' most exon	0.353	0.413
Gnaq	chr19:16463010:+	3' most exon	0.157	0.143
Gnaq	chr19:16460483:+	3' most exon	0.356	0.286
Gnaq	chr19:16459072:+	3' most exon	0.0471	0.0602
Gnaq	chr19:16460129:+	3' most exon	0.0862	0.0978
Rfk	chr19:17475006:+	3' most exon	0.161	0.231
